elapsed_s,fps,ear,eye_closed,closed_dur_s,perclos,state,cause,face_detected
17.122,31.9,0.2632,0,0.000,5.65,NORMAL,RECOVERED,1
17.153,32.3,0.2626,0,0.000,5.62,NORMAL,RECOVERED,1
17.195,32.3,0.2741,0,0.000,5.58,NORMAL,RECOVERED,1
17.221,31.5,0.2858,0,0.000,5.56,NORMAL,RECOVERED,1
17.264,32.1,0.2779,0,0.000,5.52,NORMAL,RECOVERED,1
17.290,31.2,0.2805,0,0.000,5.50,NORMAL,RECOVERED,1
17.327,31.9,0.2820,0,0.000,5.47,NORMAL,RECOVERED,1
17.354,31.4,0.2846,0,0.000,5.45,NORMAL,RECOVERED,1
17.390,32.0,0.2854,0,0.000,5.42,NORMAL,RECOVERED,1
17.422,31.6,0.2848,0,0.000,5.39,NORMAL,RECOVERED,1
17.456,31.5,0.2919,0,0.000,5.37,NORMAL,RECOVERED,1
17.496,31.3,0.2832,0,0.000,5.33,NORMAL,RECOVERED,1
17.527,30.7,0.2882,0,0.000,5.31,NORMAL,RECOVERED,1
17.563,30.9,0.2920,0,0.000,5.28,NORMAL,RECOVERED,1
17.599,30.5,0.2924,0,0.000,5.25,NORMAL,RECOVERED,1
17.620,30.3,0.2879,0,0.000,5.24,NORMAL,RECOVERED,1
17.657,32.1,0.2917,0,0.000,5.21,NORMAL,RECOVERED,1
17.692,31.6,0.2873,0,0.000,5.18,NORMAL,RECOVERED,1
17.728,31.2,0.2888,0,0.000,5.16,NORMAL,RECOVERED,1
17.755,30.9,0.2783,0,0.000,5.14,NORMAL,RECOVERED,1
17.794,31.6,0.2569,0,0.000,5.11,NORMAL,RECOVERED,1
17.824,31.1,0.2547,0,0.000,5.09,NORMAL,RECOVERED,1
17.862,31.2,0.2551,0,0.000,5.06,NORMAL,RECOVERED,1
17.890,30.8,0.2569,0,0.000,5.04,NORMAL,RECOVERED,1
17.933,31.2,0.2519,0,0.000,5.01,NORMAL,RECOVERED,1
17.960,30.4,0.2534,0,0.000,4.99,NORMAL,RECOVERED,1
17.995,31.1,0.2571,0,0.000,4.97,NORMAL,RECOVERED,1
18.025,30.9,0.2714,0,0.000,4.95,NORMAL,RECOVERED,1
18.062,31.1,0.2696,0,0.000,4.92,NORMAL,RECOVERED,1
18.092,30.7,0.2751,0,0.000,4.90,NORMAL,RECOVERED,1
18.125,30.9,0.2803,0,0.000,4.88,NORMAL,RECOVERED,1
18.154,30.9,0.2823,0,0.000,4.86,NORMAL,RECOVERED,1
18.193,31.3,0.2830,0,0.000,4.84,NORMAL,RECOVERED,1
18.226,30.7,0.2822,0,0.000,4.82,NORMAL,RECOVERED,1
18.264,30.6,0.2798,0,0.000,4.79,NORMAL,RECOVERED,1
18.296,30.2,0.2879,0,0.000,4.77,NORMAL,RECOVERED,1
18.331,30.3,0.2909,0,0.000,4.75,NORMAL,RECOVERED,1
18.362,30.1,0.2985,0,0.000,4.73,NORMAL,RECOVERED,1
18.395,30.3,0.2911,0,0.000,4.71,NORMAL,RECOVERED,1
18.425,30.3,0.2910,0,0.000,4.69,NORMAL,RECOVERED,1
18.582,30.8,0.2891,0,0.000,4.60,NORMAL,RECOVERED,1
18.597,28.3,0.2974,0,0.000,4.59,NORMAL,RECOVERED,1
18.634,32.1,0.2986,0,0.000,4.57,NORMAL,RECOVERED,1
