elapsed_s,fps,ear,eye_closed,closed_dur_s,perclos,event_state,drowsy,face_detected
16.552,30.2,0.2712,0,0.000,8.16,NORMAL,0,1
16.582,30.7,0.2874,0,0.000,8.11,NORMAL,0,1
16.615,31.0,0.2912,0,0.000,8.06,NORMAL,0,1
16.651,30.9,0.2855,0,0.000,8.00,NORMAL,0,1
16.685,30.5,0.2865,0,0.000,7.94,NORMAL,0,1
16.715,30.4,0.2960,0,0.000,7.90,NORMAL,0,1
16.753,30.8,0.2833,0,0.000,7.84,NORMAL,0,1
16.783,30.3,0.2741,0,0.000,7.79,NORMAL,0,1
16.815,30.6,0.2761,0,0.000,7.74,NORMAL,0,1
16.855,30.7,0.2815,0,0.000,7.68,NORMAL,0,1
16.880,30.1,0.2789,0,0.000,7.65,NORMAL,0,1
16.922,31.0,0.2801,0,0.000,7.59,NORMAL,0,1
16.948,30.4,0.2855,0,0.000,7.55,NORMAL,0,1
17.088,31.1,0.2926,0,0.000,7.35,NORMAL,0,1
17.099,28.7,0.2935,0,0.000,7.34,NORMAL,0,1
17.138,35.4,0.2957,0,0.000,7.28,NORMAL,0,1
17.147,34.4,0.2933,0,0.000,7.27,NORMAL,0,1
17.189,41.4,0.2920,0,0.000,7.22,NORMAL,0,1
17.213,39.7,0.3025,0,0.000,7.19,NORMAL,0,1
17.249,39.9,0.3023,0,0.000,7.14,NORMAL,0,1
17.280,38.7,0.3011,0,0.000,7.10,NORMAL,0,1
17.317,38.0,0.2953,0,0.000,7.05,NORMAL,0,1
17.349,36.9,0.2948,0,0.000,7.01,NORMAL,0,1
17.383,36.4,0.2908,0,0.000,6.97,NORMAL,0,1
17.417,35.7,0.2964,0,0.000,6.93,NORMAL,0,1
17.453,35.0,0.3154,0,0.000,6.89,NORMAL,0,1
17.483,34.4,0.3122,0,0.000,6.85,NORMAL,0,1
17.524,34.3,0.3140,0,0.000,6.80,NORMAL,0,1
17.551,33.3,0.3136,0,0.000,6.77,NORMAL,0,1
17.583,33.7,0.3099,0,0.000,6.74,NORMAL,0,1
17.615,33.5,0.3149,0,0.000,6.70,NORMAL,0,1
17.651,33.2,0.3043,0,0.000,6.66,NORMAL,0,1
17.687,32.7,0.3069,0,0.000,6.62,NORMAL,0,1
17.717,32.2,0.3125,0,0.000,6.59,NORMAL,0,1
17.751,32.3,0.3141,0,0.000,6.55,NORMAL,0,1
17.783,32.1,0.3130,0,0.000,6.51,NORMAL,0,1
17.814,31.9,0.3089,0,0.000,6.48,NORMAL,0,1
17.856,31.9,0.3091,0,0.000,6.44,NORMAL,0,1
17.882,31.1,0.3114,0,0.000,6.41,NORMAL,0,1
17.917,31.9,0.3254,0,0.000,6.37,NORMAL,0,1
17.949,31.5,0.3353,0,0.000,6.34,NORMAL,0,1
17.983,31.5,0.3294,0,0.000,6.31,NORMAL,0,1
18.015,31.3,0.3264,0,0.000,6.28,NORMAL,0,1
18.053,31.3,0.3183,0,0.000,6.24,NORMAL,0,1
18.083,30.8,0.3219,0,0.000,6.21,NORMAL,0,1
18.119,31.0,0.3239,0,0.000,6.17,NORMAL,0,1
18.149,30.7,0.3211,0,0.000,6.15,NORMAL,0,1
18.204,31.1,0.3221,0,0.000,6.10,NORMAL,0,1
18.222,29.8,0.3226,0,0.000,6.08,NORMAL,0,1
18.260,32.1,0.3166,0,0.000,6.04,NORMAL,0,1
18.283,31.5,0.3126,0,0.000,6.02,NORMAL,0,1
18.317,32.7,0.3074,0,0.000,5.99,NORMAL,0,1
18.353,32.4,0.3182,0,0.000,5.96,NORMAL,0,1
18.394,32.0,0.3146,0,0.000,5.92,NORMAL,0,1
18.416,31.1,0.3056,0,0.000,5.90,NORMAL,0,1
18.452,32.7,0.2999,0,0.000,5.87,NORMAL,0,1
18.493,32.2,0.3009,0,0.000,5.84,NORMAL,0,1
18.528,31.4,0.3036,0,0.000,5.81,NORMAL,0,1
18.549,31.1,0.3017,0,0.000,5.79,NORMAL,0,1
18.583,32.8,0.3019,0,0.000,5.76,NORMAL,0,1
18.615,32.4,0.2999,0,0.000,5.73,NORMAL,0,1
18.650,32.3,0.3006,0,0.000,5.70,NORMAL,0,1
18.685,32.0,0.2966,0,0.000,5.68,NORMAL,0,1
18.719,31.6,0.2894,0,0.000,5.65,NORMAL,0,1
18.752,31.4,0.3027,0,0.000,5.62,NORMAL,0,1
18.785,31.3,0.3116,0,0.000,5.60,NORMAL,0,1
18.815,31.2,0.3106,0,0.000,5.57,NORMAL,0,1
18.855,31.4,0.3087,0,0.000,5.54,NORMAL,0,1
18.888,30.7,0.3109,0,0.000,5.52,NORMAL,0,1
18.920,30.7,0.3097,0,0.000,5.49,NORMAL,0,1
18.948,30.8,0.3037,0,0.000,5.47,NORMAL,0,1
18.983,31.3,0.3046,0,0.000,5.44,NORMAL,0,1
19.014,31.0,0.3038,0,0.000,5.42,NORMAL,0,1
19.050,31.1,0.2893,0,0.000,5.40,NORMAL,0,1
19.083,30.8,0.2812,0,0.000,5.37,NORMAL,0,1
19.118,30.7,0.2842,0,0.000,5.35,NORMAL,0,1
19.150,30.6,0.2911,0,0.000,5.32,NORMAL,0,1
19.192,30.6,0.2899,0,0.000,5.29,NORMAL,0,1
19.216,29.9,0.2852,0,0.000,5.28,NORMAL,0,1
19.253,31.3,0.2863,0,0.000,5.25,NORMAL,0,1
19.283,30.8,0.2882,0,0.000,5.23,NORMAL,0,1
19.317,31.0,0.2888,0,0.000,5.21,NORMAL,0,1
19.349,30.9,0.2802,0,0.000,5.18,NORMAL,0,1
19.386,30.9,0.2776,0,0.000,5.16,NORMAL,0,1
19.421,30.5,0.2858,0,0.000,5.14,NORMAL,0,1
19.460,30.4,0.2905,0,0.000,5.11,NORMAL,0,1
19.491,29.9,0.2976,0,0.000,5.09,NORMAL,0,1
19.526,30.2,0.2989,0,0.000,5.07,NORMAL,0,1
19.551,30.0,0.2939,0,0.000,5.05,NORMAL,0,1
19.594,31.1,0.2931,0,0.000,5.02,NORMAL,0,1
19.620,30.3,0.2935,0,0.000,5.01,NORMAL,0,1
19.660,31.1,0.2963,0,0.000,4.98,NORMAL,0,1
19.684,30.4,0.2923,0,0.000,4.97,NORMAL,0,1
19.719,31.8,0.2877,0,0.000,4.95,NORMAL,0,1
19.759,31.4,0.2815,0,0.000,4.92,NORMAL,0,1
19.801,30.8,0.2844,0,0.000,4.90,NORMAL,0,1
19.824,30.1,0.2828,0,0.000,4.88,NORMAL,0,1
19.858,31.3,0.2867,0,0.000,4.86,NORMAL,0,1
19.891,31.1,0.2861,0,0.000,4.84,NORMAL,0,1
19.928,31.0,0.2832,0,0.000,4.82,NORMAL,0,1
19.958,30.7,0.2862,0,0.000,4.80,NORMAL,0,1
19.994,30.9,0.2850,0,0.000,4.78,NORMAL,0,1
20.028,30.6,0.2830,0,0.000,4.76,NORMAL,0,1
20.060,30.4,0.2816,0,0.000,4.74,NORMAL,0,1
20.090,30.5,0.2829,0,0.000,4.73,NORMAL,0,1
20.124,30.8,0.2938,0,0.000,4.71,NORMAL,0,1
20.153,30.6,0.2968,0,0.000,4.69,NORMAL,0,1
20.185,31.1,0.3030,0,0.000,4.68,NORMAL,0,1
20.218,31.1,0.3002,0,0.000,4.66,NORMAL,0,1
20.257,31.0,0.3042,0,0.000,4.64,NORMAL,0,1
20.290,30.5,0.3053,0,0.000,4.62,NORMAL,0,1
20.321,30.4,0.2941,0,0.000,4.60,NORMAL,0,1
20.349,30.6,0.2897,0,0.000,4.59,NORMAL,0,1
20.385,31.1,0.2901,0,0.000,4.57,NORMAL,0,1
20.416,30.8,0.2801,0,0.000,4.55,NORMAL,0,1
20.455,30.9,0.2780,0,0.000,4.53,NORMAL,0,1
20.482,30.4,0.2826,0,0.000,4.52,NORMAL,0,1
20.518,31.2,0.2843,0,0.000,4.50,NORMAL,0,1
20.554,30.8,0.2858,0,0.000,4.48,NORMAL,0,1
20.585,30.5,0.2876,0,0.000,4.46,NORMAL,0,1
20.623,30.6,0.2859,0,0.000,4.45,NORMAL,0,1
20.659,30.2,0.2829,0,0.000,4.43,NORMAL,0,1
20.684,30.0,0.2774,0,0.000,4.42,NORMAL,0,1
20.718,31.1,0.2766,0,0.000,4.40,NORMAL,0,1
20.749,30.9,0.2809,0,0.000,4.38,NORMAL,0,1
20.784,31.0,0.2816,0,0.000,4.37,NORMAL,0,1
20.828,30.7,0.2824,0,0.000,4.35,NORMAL,0,1
20.853,30.0,0.2813,0,0.000,4.33,NORMAL,0,1
20.884,30.9,0.2841,0,0.000,4.32,NORMAL,0,1
20.928,31.2,0.2842,0,0.000,4.30,NORMAL,0,1
20.958,30.3,0.2958,0,0.000,4.29,NORMAL,0,1
20.994,30.6,0.3023,0,0.000,4.27,NORMAL,0,1
21.015,30.3,0.3041,0,0.000,4.26,NORMAL,0,1
21.052,31.9,0.3016,0,0.000,4.24,NORMAL,0,1
21.085,31.5,0.3029,0,0.000,4.23,NORMAL,0,1
21.118,31.3,0.2990,0,0.000,4.21,NORMAL,0,1
21.150,31.2,0.2999,0,0.000,4.20,NORMAL,0,1
21.185,31.3,0.3027,0,0.000,4.18,NORMAL,0,1
21.223,31.0,0.3060,0,0.000,4.17,NORMAL,0,1
21.251,30.5,0.3055,0,0.000,4.15,NORMAL,0,1
21.281,31.1,0.3059,0,0.000,4.14,NORMAL,0,1
21.338,31.3,0.3002,0,0.000,4.12,NORMAL,0,1
21.368,29.9,0.2029,0,0.000,4.10,NORMAL,0,1
21.387,30.1,0.1139,1,0.000,4.29,NORMAL,0,1
21.424,32.3,0.1957,1,0.035,4.64,NORMAL,0,1
21.467,31.9,0.2270,0,0.000,4.62,NORMAL,0,1
21.493,31.0,0.2455,0,0.000,4.61,NORMAL,0,1
21.526,31.6,0.2610,0,0.000,4.59,NORMAL,0,1
21.555,31.5,0.2701,0,0.000,4.58,NORMAL,0,1
21.594,31.9,0.2769,0,0.000,4.56,NORMAL,0,1
21.627,31.2,0.2762,0,0.000,4.55,NORMAL,0,1
21.662,31.1,0.2752,0,0.000,4.53,NORMAL,0,1
21.691,30.8,0.2752,0,0.000,4.52,NORMAL,0,1
21.733,31.2,0.2746,0,0.000,4.50,NORMAL,0,1
21.762,30.5,0.2747,0,0.000,4.49,NORMAL,0,1
21.798,30.9,0.2799,0,0.000,4.47,NORMAL,0,1
21.826,30.6,0.2863,0,0.000,4.46,NORMAL,0,1
21.862,31.1,0.2801,0,0.000,4.44,NORMAL,0,1
21.887,30.7,0.2875,0,0.000,4.43,NORMAL,0,1
21.928,31.7,0.2889,0,0.000,4.41,NORMAL,0,1
21.955,31.0,0.2799,0,0.000,4.40,NORMAL,0,1
21.991,31.6,0.2605,0,0.000,4.39,NORMAL,0,1
22.019,31.2,0.2580,0,0.000,4.38,NORMAL,0,1
22.053,31.8,0.2585,0,0.000,4.36,NORMAL,0,1
22.094,31.5,0.2574,0,0.000,4.34,NORMAL,0,1
22.119,30.8,0.2603,0,0.000,4.33,NORMAL,0,1
22.157,31.7,0.2610,0,0.000,4.32,NORMAL,0,1
22.185,31.2,0.2581,0,0.000,4.31,NORMAL,0,1
22.219,31.8,0.2603,0,0.000,4.29,NORMAL,0,1
22.255,31.5,0.2628,0,0.000,4.28,NORMAL,0,1
22.289,31.1,0.2673,0,0.000,4.26,NORMAL,0,1
22.334,31.0,0.2752,0,0.000,4.25,NORMAL,0,1
22.359,30.1,0.2777,0,0.000,4.24,NORMAL,0,1
22.393,31.0,0.2740,0,0.000,4.22,NORMAL,0,1
22.426,30.9,0.2657,0,0.000,4.21,NORMAL,0,1
22.462,30.8,0.2802,0,0.000,4.20,NORMAL,0,1
22.490,30.5,0.2914,0,0.000,4.18,NORMAL,0,1
22.520,31.1,0.2906,0,0.000,4.17,NORMAL,0,1
22.557,31.2,0.2891,0,0.000,4.16,NORMAL,0,1
22.584,30.8,0.2874,0,0.000,4.15,NORMAL,0,1
22.626,31.5,0.2812,0,0.000,4.13,NORMAL,0,1
22.657,30.7,0.2758,0,0.000,4.12,NORMAL,0,1
22.685,30.9,0.2774,0,0.000,4.11,NORMAL,0,1
22.719,31.4,0.2746,0,0.000,4.10,NORMAL,0,1
22.755,31.2,0.2731,0,0.000,4.08,NORMAL,0,1
22.789,30.9,0.2729,0,0.000,4.07,NORMAL,0,1
22.817,30.7,0.2760,0,0.000,4.06,NORMAL,0,1
22.853,31.2,0.2741,0,0.000,4.05,NORMAL,0,1
22.884,30.9,0.2729,0,0.000,4.04,NORMAL,0,1
22.920,31.0,0.2715,0,0.000,4.02,NORMAL,0,1
22.952,30.7,0.2669,0,0.000,4.01,NORMAL,0,1
22.991,30.9,0.2710,0,0.000,4.00,NORMAL,0,1
23.017,30.3,0.2735,0,0.000,3.99,NORMAL,0,1
23.061,31.1,0.2731,0,0.000,3.97,NORMAL,0,1
23.107,30.2,0.2819,0,0.000,3.96,NORMAL,0,1
23.123,29.4,0.2890,0,0.000,3.95,NORMAL,0,1
23.165,33.1,0.2926,0,0.000,3.94,NORMAL,0,1
23.192,32.2,0.2915,0,0.000,3.93,NORMAL,0,1
23.223,32.6,0.2887,0,0.000,3.92,NORMAL,0,1
23.259,32.6,0.2920,0,0.000,3.91,NORMAL,0,1
23.295,32.1,0.2915,0,0.000,3.89,NORMAL,0,1
23.332,31.6,0.2916,0,0.000,3.88,NORMAL,0,1
23.359,31.2,0.2762,0,0.000,3.87,NORMAL,0,1
23.388,31.7,0.2691,0,0.000,3.86,NORMAL,0,1
23.421,32.1,0.2661,0,0.000,3.85,NORMAL,0,1
23.461,32.0,0.2470,0,0.000,3.84,NORMAL,0,1
23.493,31.3,0.2431,0,0.000,3.83,NORMAL,0,1
23.524,31.2,0.2420,0,0.000,3.82,NORMAL,0,1
23.552,31.2,0.2352,0,0.000,3.81,NORMAL,0,1
23.593,31.7,0.2404,0,0.000,3.80,NORMAL,0,1
23.623,31.0,0.2372,0,0.000,3.79,NORMAL,0,1
23.665,31.2,0.2391,0,0.000,3.77,NORMAL,0,1
23.687,30.5,0.2420,0,0.000,3.77,NORMAL,0,1
23.722,32.0,0.2482,0,0.000,3.76,NORMAL,0,1
23.760,31.7,0.2516,0,0.000,3.74,NORMAL,0,1
23.789,31.1,0.2489,0,0.000,3.74,NORMAL,0,1
23.827,31.4,0.2467,0,0.000,3.72,NORMAL,0,1
23.866,30.9,0.2472,0,0.000,3.71,NORMAL,0,1
23.901,30.4,0.2500,0,0.000,3.70,NORMAL,0,1
23.923,30.2,0.2461,0,0.000,3.69,NORMAL,0,1
23.965,31.7,0.2385,0,0.000,3.68,NORMAL,0,1
23.994,30.9,0.2390,0,0.000,3.67,NORMAL,0,1
24.018,31.4,0.2448,0,0.000,3.67,NORMAL,0,1
24.059,32.2,0.2568,0,0.000,3.65,NORMAL,0,1
24.094,31.5,0.2683,0,0.000,3.64,NORMAL,0,1
24.121,31.2,0.2619,0,0.000,3.64,NORMAL,0,1
24.160,31.7,0.2681,0,0.000,3.62,NORMAL,0,1
24.199,31.1,0.2570,0,0.000,3.61,NORMAL,0,1
24.219,30.6,0.2472,0,0.000,3.61,NORMAL,0,1
24.255,32.5,0.2448,0,0.000,3.60,NORMAL,0,1
24.288,32.0,0.2496,0,0.000,3.59,NORMAL,0,1
24.327,31.8,0.2502,0,0.000,3.58,NORMAL,0,1
24.351,31.3,0.2562,0,0.000,3.57,NORMAL,0,1
24.388,32.1,0.2621,0,0.000,3.56,NORMAL,0,1
24.424,31.6,0.2653,0,0.000,3.55,NORMAL,0,1
24.457,31.2,0.2687,0,0.000,3.54,NORMAL,0,1
24.485,31.1,0.2703,0,0.000,3.53,NORMAL,0,1
24.531,31.5,0.2663,0,0.000,3.52,NORMAL,0,1
24.557,30.6,0.2736,0,0.000,3.51,NORMAL,0,1
24.590,31.5,0.2796,0,0.000,3.50,NORMAL,0,1
24.627,31.4,0.2843,0,0.000,3.49,NORMAL,0,1
24.660,30.9,0.2795,0,0.000,3.49,NORMAL,0,1
24.687,30.8,0.2714,0,0.000,3.48,NORMAL,0,1
24.726,31.4,0.2548,0,0.000,3.47,NORMAL,0,1
