elapsed_s,fps,ear,eye_closed,closed_dur_s,perclos,state,cause,face_detected
14.692,30.7,0.3146,0,0.000,0.00,NORMAL,RECOVERED,1
14.712,29.8,0.3176,0,0.000,0.00,NORMAL,RECOVERED,1
14.747,31.6,0.3150,0,0.000,0.00,NORMAL,RECOVERED,1
14.779,31.4,0.3177,0,0.000,0.00,NORMAL,RECOVERED,1
14.818,31.4,0.3214,0,0.000,0.00,NORMAL,RECOVERED,1
14.848,30.8,0.3201,0,0.000,0.00,NORMAL,RECOVERED,1
14.884,31.1,0.3221,0,0.000,0.00,NORMAL,RECOVERED,1
14.912,30.7,0.3186,0,0.000,0.00,NORMAL,RECOVERED,1
14.951,31.3,0.3212,0,0.000,0.00,NORMAL,RECOVERED,1
14.979,30.7,0.3204,0,0.000,0.00,NORMAL,RECOVERED,1
15.022,31.2,0.3201,0,0.000,0.00,NORMAL,RECOVERED,1
15.049,30.4,0.3252,0,0.000,0.00,NORMAL,RECOVERED,1
15.081,31.1,0.3298,0,0.000,0.00,NORMAL,RECOVERED,1
15.113,31.1,0.3373,0,0.000,0.00,NORMAL,RECOVERED,1
15.147,31.3,0.3312,0,0.000,0.00,NORMAL,RECOVERED,1
15.179,31.0,0.3377,0,0.000,0.00,NORMAL,RECOVERED,1
15.218,31.0,0.3406,0,0.000,0.00,NORMAL,RECOVERED,1
15.250,30.4,0.3327,0,0.000,0.00,NORMAL,RECOVERED,1
15.284,30.7,0.3295,0,0.000,0.00,NORMAL,RECOVERED,1
15.314,30.5,0.3304,0,0.000,0.00,NORMAL,RECOVERED,1
15.357,30.7,0.3307,0,0.000,0.00,NORMAL,RECOVERED,1
15.380,30.1,0.3341,0,0.000,0.00,NORMAL,RECOVERED,1
15.414,31.1,0.3324,0,0.000,0.00,NORMAL,RECOVERED,1
15.447,30.9,0.3396,0,0.000,0.00,NORMAL,RECOVERED,1
15.481,30.9,0.3309,0,0.000,0.00,NORMAL,RECOVERED,1
15.513,30.8,0.3345,0,0.000,0.00,NORMAL,RECOVERED,1
15.548,30.7,0.3277,0,0.000,0.00,NORMAL,RECOVERED,1
15.581,30.5,0.3302,0,0.000,0.00,NORMAL,RECOVERED,1
15.623,30.5,0.3221,0,0.000,0.00,NORMAL,RECOVERED,1
15.648,29.8,0.3354,0,0.000,0.00,NORMAL,RECOVERED,1
15.681,30.9,0.3347,0,0.000,0.00,NORMAL,RECOVERED,1
15.713,30.9,0.3198,0,0.000,0.00,NORMAL,RECOVERED,1
15.748,30.8,0.3199,0,0.000,0.00,NORMAL,RECOVERED,1
15.779,30.7,0.3166,0,0.000,0.00,NORMAL,RECOVERED,1
15.815,30.8,0.3225,0,0.000,0.00,NORMAL,RECOVERED,1
15.846,30.5,0.3203,0,0.000,0.00,NORMAL,RECOVERED,1
15.880,30.6,0.3270,0,0.000,0.00,NORMAL,RECOVERED,1
15.916,30.5,0.3221,0,0.000,0.00,NORMAL,RECOVERED,1
15.954,30.2,0.3197,0,0.000,0.00,NORMAL,RECOVERED,1
15.980,29.9,0.3223,0,0.000,0.00,NORMAL,RECOVERED,1
16.015,30.9,0.3207,0,0.000,0.00,NORMAL,RECOVERED,1
16.046,30.6,0.3205,0,0.000,0.00,NORMAL,RECOVERED,1
16.082,30.8,0.3230,0,0.000,0.00,NORMAL,RECOVERED,1
16.113,30.5,0.3304,0,0.000,0.00,NORMAL,RECOVERED,1
16.156,30.7,0.3296,0,0.000,0.00,NORMAL,RECOVERED,1
16.183,29.9,0.3287,0,0.000,0.00,NORMAL,RECOVERED,1
16.216,30.6,0.3304,0,0.000,0.00,NORMAL,RECOVERED,1
16.249,30.6,0.3360,0,0.000,0.00,NORMAL,RECOVERED,1
16.289,30.7,0.3373,0,0.000,0.00,NORMAL,RECOVERED,1
16.318,30.0,0.3386,0,0.000,0.00,NORMAL,RECOVERED,1
16.348,30.5,0.3323,0,0.000,0.00,NORMAL,RECOVERED,1
16.380,30.8,0.3273,0,0.000,0.00,NORMAL,RECOVERED,1
16.420,30.8,0.3336,0,0.000,0.00,NORMAL,RECOVERED,1
16.450,30.2,0.3332,0,0.000,0.00,NORMAL,RECOVERED,1
16.488,30.5,0.3364,0,0.000,0.00,NORMAL,RECOVERED,1
16.515,30.1,0.3307,0,0.000,0.00,NORMAL,RECOVERED,1
16.548,31.1,0.3365,0,0.000,0.00,NORMAL,RECOVERED,1
16.581,30.8,0.3281,0,0.000,0.00,NORMAL,RECOVERED,1
16.624,30.7,0.3269,0,0.000,0.00,NORMAL,RECOVERED,1
16.648,30.0,0.3265,0,0.000,0.00,NORMAL,RECOVERED,1
16.685,31.2,0.3310,0,0.000,0.00,NORMAL,RECOVERED,1
16.713,30.8,0.3319,0,0.000,0.00,NORMAL,RECOVERED,1
16.752,31.2,0.3335,0,0.000,0.00,NORMAL,RECOVERED,1
16.777,30.8,0.3290,0,0.000,0.00,NORMAL,RECOVERED,1
16.815,31.4,0.3319,0,0.000,0.00,NORMAL,RECOVERED,1
16.850,31.0,0.3350,0,0.000,0.00,NORMAL,RECOVERED,1
16.881,30.7,0.3346,0,0.000,0.00,NORMAL,RECOVERED,1
16.912,30.9,0.3322,0,0.000,0.00,NORMAL,RECOVERED,1
16.955,30.9,0.3321,0,0.000,0.00,NORMAL,RECOVERED,1
16.978,30.2,0.3272,0,0.000,0.00,NORMAL,RECOVERED,1
17.019,31.5,0.3341,0,0.000,0.00,NORMAL,RECOVERED,1
17.046,30.8,0.3347,0,0.000,0.00,NORMAL,RECOVERED,1
17.086,31.4,0.3372,0,0.000,0.00,NORMAL,RECOVERED,1
17.114,30.9,0.3278,0,0.000,0.00,NORMAL,RECOVERED,1
17.152,31.4,0.3264,0,0.000,0.00,NORMAL,RECOVERED,1
17.180,30.7,0.3336,0,0.000,0.00,NORMAL,RECOVERED,1
17.216,31.5,0.3250,0,0.000,0.00,NORMAL,RECOVERED,1
17.248,31.0,0.3281,0,0.000,0.00,NORMAL,RECOVERED,1
17.290,31.0,0.3302,0,0.000,0.00,NORMAL,RECOVERED,1
17.313,30.3,0.3273,0,0.000,0.00,NORMAL,RECOVERED,1
17.351,31.7,0.3294,0,0.000,0.00,NORMAL,RECOVERED,1
17.379,31.2,0.3323,0,0.000,0.00,NORMAL,RECOVERED,1
17.420,31.7,0.3293,0,0.000,0.00,NORMAL,RECOVERED,1
17.445,30.9,0.3334,0,0.000,0.00,NORMAL,RECOVERED,1
17.481,31.9,0.3324,0,0.000,0.00,NORMAL,RECOVERED,1
17.514,31.5,0.3342,0,0.000,0.00,NORMAL,RECOVERED,1
