elapsed_s,fps,ear,eye_closed,closed_dur_s,perclos,state,cause,face_detected
19.563,31.3,0.3316,0,0.000,0.00,NORMAL,RECOVERED,1
19.595,31.0,0.3262,0,0.000,0.00,NORMAL,RECOVERED,1
19.631,31.1,0.3270,0,0.000,0.00,NORMAL,RECOVERED,1
19.661,30.8,0.3269,0,0.000,0.00,NORMAL,RECOVERED,1
19.696,30.9,0.3311,0,0.000,0.00,NORMAL,RECOVERED,1
19.729,30.7,0.3341,0,0.000,0.00,NORMAL,RECOVERED,1
19.768,30.8,0.3347,0,0.000,0.00,NORMAL,RECOVERED,1
19.794,30.2,0.3364,0,0.000,0.00,NORMAL,RECOVERED,1
19.830,31.0,0.3325,0,0.000,0.00,NORMAL,RECOVERED,1
19.861,30.8,0.3269,0,0.000,0.00,NORMAL,RECOVERED,1
19.897,30.8,0.3305,0,0.000,0.00,NORMAL,RECOVERED,1
19.929,30.5,0.3327,0,0.000,0.00,NORMAL,RECOVERED,1
19.965,30.6,0.3303,0,0.000,0.00,NORMAL,RECOVERED,1
19.996,30.4,0.3343,0,0.000,0.00,NORMAL,RECOVERED,1
20.030,30.4,0.3332,0,0.000,0.00,NORMAL,RECOVERED,1
20.063,30.3,0.3320,0,0.000,0.00,NORMAL,RECOVERED,1
20.103,30.4,0.3297,0,0.000,0.00,NORMAL,RECOVERED,1
20.129,29.8,0.3329,0,0.000,0.00,NORMAL,RECOVERED,1
20.165,30.6,0.3364,0,0.000,0.00,NORMAL,RECOVERED,1
20.195,30.4,0.3370,0,0.000,0.00,NORMAL,RECOVERED,1
20.230,30.6,0.3330,0,0.000,0.00,NORMAL,RECOVERED,1
20.263,30.4,0.3419,0,0.000,0.00,NORMAL,RECOVERED,1
20.297,30.3,0.3359,0,0.000,0.00,NORMAL,RECOVERED,1
20.330,30.3,0.3385,0,0.000,0.00,NORMAL,RECOVERED,1
20.368,30.3,0.2748,0,0.000,0.00,NORMAL,RECOVERED,1
20.397,29.9,0.0431,1,0.000,0.31,NORMAL,INSTANT,1
